timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
523033320,4.7320004,1.667,1224,-10000,-10000,-10000,-10000,0,0,0,0,906,906,906,906,1500,1500,0,0,1503,1500,1000,1995,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
524048039,4.703,1.6790001,1224,-9960,-10000,-9960,-10000,0,0,0,0,1076,1075,1076,1075,1500,1500,0,0,1503,1500,1000,1988,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
525062744,4.6930003,1.667,1224,-10000,-9960,-10000,-10000,0,0,0,0,1075,1076,1076,1075,1500,1500,0,0,1503,1500,1000,1880,1000,1000,2001,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
526077395,4.71,1.654,1224,-9960,-10000,-9960,-10000,0,0,0,0,1076,1075,1076,1075,1500,1500,0,0,1503,1500,1206,1502,1000,1000,2001,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
527087484,4.6980004,1.6560001,1224,-9960,-10000,-9960,-10000,0,0,0,0,1076,1075,1076,1076,1500,1500,0,0,1503,1500,1587,1500,1001,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
528100615,4.691,1.646,1224,-5481,-7891,-8574,-4854,0,0,0,0,1272,1137,1136,1299,1500,1500,0,0,1503,1500,1917,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
529121198,4.6720004,1.669,1224,-2056,1012,525,527,0,0,0,0,1422,1556,1534,1535,1500,1500,0,0,1503,1500,1969,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
530143757,4.63,1.6810001,1224,612,420,163,1861,0,0,0,0,1538,1530,1519,1563,1500,1500,0,0,1503,1500,1972,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
531159200,4.638,1.6500001,1224,-2226,-166,2645,-2713,0,0,0,0,1414,1504,1627,1393,1500,1500,0,0,1503,1500,1544,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
532180181,4.635,1.6340001,1224,-159,2384,2761,659,0,0,0,0,1432,1616,1632,1540,1500,1500,0,0,1503,1500,1545,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
