timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
523242284,-0.0026173517,-0.007770594,-0.004459491,4502,0,-0.21833803,-0.32310742,-9.564066,4502,0
523251303,-0.0071834493,0.003591114,0.0059337015,4509,0,-0.3190337,-0.30741268,-10.108331,4509,0
523255821,-0.008827465,-0.0059041698,0.01198988,4518,0,-0.28056115,-0.40514338,-9.911226,4518,0
523260319,0.012323796,-0.0011366754,-0.008783806,4498,0,-0.2599915,-0.4268364,-9.72635,4498,0
523264829,-0.011841396,-0.016114313,0.0047452766,4510,0,-0.19856834,-0.43507257,-9.85542,4510,0
523269338,-0.018074615,-0.0071925144,-0.006999156,4509,0,-0.20407389,-0.49644503,-10.417647,4509,0
523273848,0.049676552,0.03183132,-0.024726406,4510,0,-0.5495092,-0.7604369,-9.851484,4510,0
523278357,-0.046364415,-0.034153003,0.010691514,4509,0,-0.020643478,0.1977919,-9.048723,4509,0
523282867,0.016669832,-0.018991021,0.007801828,4510,0,-0.0634856,-0.5970461,-10.380542,4510,0
523287390,0.012308724,0.03625624,-0.042357847,4523,0,-0.43301162,-0.57721305,-10.528251,4523,0
523291886,-0.020641897,-0.009411237,0.0056080366,4496,0,-0.4309082,0.038819563,-9.369906,4496,0
523296399,-0.007090956,-0.041996703,0.016983462,4513,0,-0.20619814,-0.4517316,-9.494236,4513,0
523300905,0.022757504,0.0048179487,-0.008595047,4506,0,-0.1679776,-0.6837381,-10.571382,4506,0
523305415,5.2696094e-05,0.035187304,-0.007199738,4510,0,-0.2739765,-0.41385084,-10.133799,4510,0
523309924,-0.033451874,-0.03353316,0.009498337,4509,0,-0.047113758,-0.114816286,-8.939855,4509,0
523314434,0.03400883,-0.024293527,0.014790794,4510,0,-0.278768,-0.4625421,-10.331599,4510,0
523318943,-0.035913736,0.035403363,-0.011812298,4509,0,-0.53260356,-0.56968635,-10.643178,4509,0
523323453,0.031412333,-0.0023234533,0.011201809,4510,0,-0.28316304,-0.21200725,-9.489168,4510,0
523327962,-0.03474497,-0.054878615,-0.0016208348,4509,0,-0.037051506,-0.5289675,-9.323091,4509,0
523332472,0.032852948,0.017776145,-0.020350127,4510,0,-0.2815075,-0.6344355,-10.661194,4510,0
523336981,-0.028619668,0.042873137,-0.028365614,4509,0,-0.3557303,-0.24714516,-10.029736,4509,0
523341491,0.029270532,-0.04597762,0.017816372,4510,0,-0.0970003,-0.24976848,-9.258844,4510,0
523346001,-0.012878295,-0.034327224,-0.012151359,4510,0,-0.22669078,-0.67702585,-10.418646,4510,0
523350511,-0.007311621,0.057988077,-0.014574839,4510,0,-0.36711603,-0.37655646,-10.413085,4510,0
523355020,-0.013976622,-0.013770525,0.01942559,4509,0,-0.21456797,-0.03687598,-8.946975,4509,0
523359529,0.041101042,-0.051643934,0.0125298435,4509,0,-0.30309984,-0.4368743,-10.095694,4509,0
523364050,-0.040921267,0.03336641,-0.0107056815,4521,0,-0.3468821,-0.5662065,-10.752894,4521,0
523368549,-0.02014974,0.0044136215,0.010777806,4499,0,-0.013241855,-0.3247422,-9.18196,4499,0
523373058,0.05338848,-0.025613628,0.00082354626,4509,0,-0.3072327,-0.66458833,-9.905682,4509,0
523377576,-0.044143554,0.0035721138,0.00066721806,4518,0,-0.33308214,-0.39082545,-10.227885,4518,0
523382077,0.026304513,0.005271236,0.01147807,4501,0,-0.017271675,-0.27566034,-10.026477,4501,0
523386587,-0.039483562,-0.014402592,-0.042060636,4510,0,-0.3735553,-0.78300846,-9.487476,4510,0
523391096,0.049578756,-0.014838156,0.011907516,4509,0,-0.3005539,0.23064847,-10.221038,4509,0
523395606,-0.022293901,0.021395728,-0.002846701,4510,0,-0.44647887,-0.8738675,-10.066315,4510,0
523400115,-0.0045276606,-0.040117443,-0.00033318438,4509,0,0.048003197,-0.13449055,-9.36032,4509,0
523404625,0.010380201,0.017740339,-0.013378387,4510,0,-0.3462233,-0.64593005,-10.489694,4510,0
523409134,0.0076200506,0.01061151,0.0040014773,4509,0,-0.10264342,0.0433984,-9.494507,4509,0
523413644,-0.0402432,-0.046844073,-0.0006374325,4510,0,-0.32761103,-0.6532137,-9.930061,4510,0
523418165,0.01363461,0.037026767,-0.012671224,4521,0,-0.47772995,-0.43512544,-10.744571,4521,0
523422663,0.025681145,-0.0066266237,0.008269665,4498,0,-0.16646591,-0.31511483,-8.914523,4498,0
523427173,-0.028467992,-0.039723545,0.0037886556,4510,0,0.011779665,-0.17189297,-9.900936,4510,0
523431682,-0.017678842,0.03419173,-0.0057946164,4509,0,-0.5564946,-0.6417083,-10.656259,4509,0
523436198,0.035486147,-0.01793844,0.0068161082,4516,0,-0.17290476,0.06486285,-9.411468,4516,0
523440701,0.0032410726,-0.02429549,0.00502514,4503,0,-0.10670454,-0.7960975,-10.155213,4503,0
523445211,-0.051936522,0.01139801,-0.026242131,4510,0,-0.3722422,-0.67874545,-9.8818,4510,0
523449729,0.04462993,-0.0019512166,-0.008530924,4518,0,-0.41961718,-0.36265743,-9.797054,4518,0
523454230,0.021983948,-0.0068870294,0.00036273897,4501,0,-0.06243344,-0.15599376,-10.114849,4501,0
523458759,-0.038095843,-0.021230819,-0.011091881,4529,0,-0.104895055,-0.5048392,-9.647957,4529,0
