timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
523243100,523242284,0.99127346,0.024711823,-0.012943373,0.1288362,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523297282,523296399,0.9912751,0.024696978,-0.012993422,0.1288223,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523346817,523346001,0.9912805,0.024727171,-0.013007353,0.12877281,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523396529,523395606,0.99127954,0.0246856,-0.0128877545,0.12880032,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523446015,523445211,0.9912864,0.024603406,-0.012934083,0.12875788,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523495637,523494816,0.9912847,0.024654957,-0.01293297,0.12876171,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523545224,523544422,0.99127704,0.024761204,-0.012928186,0.12880094,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523594845,523594026,0.9912926,0.024636166,-0.012927813,0.12870501,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523644485,523643632,0.99129933,0.024703478,-0.012907854,0.12864222,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523694051,523693248,0.9912966,0.024634678,-0.012912885,0.12867673,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523748257,523747351,0.99129343,0.02456164,-0.013226719,0.12868284,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523797769,523796957,0.99129623,0.024581302,-0.013022618,0.12867795,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523847370,523846562,0.9912997,0.024729097,-0.01311835,0.12861334,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523896993,523896167,0.99130994,0.024674341,-0.012873246,0.1285699,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523946583,523945772,0.9912988,0.024750782,-0.013324665,0.1285948,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
523996198,523995394,0.9912829,0.024620248,-0.013342611,0.12874086,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524045779,524044990,0.9913153,0.024333466,-0.01255873,0.12862472,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524095364,524094587,0.9912773,0.024369186,-0.013624722,0.12880161,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524144990,524144191,0.9913048,0.024956135,-0.012887528,0.12855297,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524194594,524193797,0.99125713,0.024367165,-0.013165551,0.12900524,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524248695,524247911,0.99129605,0.024374397,-0.0126510095,0.12875538,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524298385,524297517,0.99130905,0.024797503,-0.012840864,0.12855561,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524347948,524347124,0.991276,0.02422304,-0.013782176,0.12882252,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524393003,524392217,0.9912737,0.0250017,-0.0131665245,0.1287564,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524447110,524446332,0.99128765,0.024906969,-0.0129373325,0.12869033,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524496800,524495937,0.9913035,0.02421021,-0.013386789,0.1286548,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524546346,524545545,0.9913052,0.025209313,-0.012829563,0.12850714,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524595929,524595148,0.99127555,0.025258256,-0.012969895,0.12871112,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524645563,524644753,0.9913259,0.024007821,-0.013097469,0.12855028,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524695163,524694365,0.99137276,0.023794442,-0.013012015,0.12823611,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524744757,524743963,0.99132,0.02513754,-0.013197223,0.12836933,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524798903,524798078,0.99133503,0.024715284,-0.01302939,0.12835231,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524848478,524847683,0.99130994,0.024792489,-0.013438071,0.12848927,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
524893583,524892779,0.99138504,0.02483333,-0.012476457,0.12799767,0.99999464,7.820783e-11,-2.982317e-11,0.0033009294,8
