timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
523001686,1,0,1,1,0,0,1,1,0,1,1,1,1,0
523503676,1,0,1,1,0,0,1,1,0,1,1,1,1,0
524004627,1,0,1,1,0,0,1,1,0,1,1,1,1,0
524512678,1,0,1,1,0,0,1,1,0,1,1,1,1,0
525021631,1,0,1,1,0,0,1,1,0,1,1,1,1,0
525531026,1,0,1,1,0,0,1,1,0,1,1,1,1,0
526041628,1,0,1,1,0,0,1,1,0,1,1,1,1,0
526541665,1,0,1,1,0,0,1,1,0,1,1,1,1,0
527052623,1,0,1,1,0,0,1,1,0,1,1,1,1,0
527553623,1,0,1,1,0,0,1,1,0,1,1,1,1,0
528055624,1,0,1,1,0,0,1,1,0,1,1,1,1,0
528563720,1,0,1,1,0,0,1,1,0,1,1,1,1,0
529066001,1,0,1,1,0,0,1,1,0,1,1,1,1,0
529573663,1,0,1,1,0,0,1,1,0,1,1,1,1,0
530074662,1,0,1,1,0,0,1,1,0,1,1,1,1,0
530578657,1,0,1,1,0,0,1,1,0,1,1,1,1,0
531086251,1,0,1,1,0,0,1,1,0,1,1,1,1,0
531595766,1,0,1,1,0,0,1,1,0,1,1,1,1,0
532100666,1,0,1,1,0,0,1,1,0,1,1,1,1,0
532611674,1,0,1,1,0,0,1,1,0,1,1,1,1,0
533113623,1,0,1,1,0,0,1,1,0,1,1,1,1,0
533621629,1,0,1,1,0,0,1,1,0,1,1,1,1,0
534131624,1,0,1,1,0,0,1,1,0,1,1,1,1,0
534639641,1,0,1,1,0,0,1,1,0,1,1,1,1,0
535148619,1,0,1,1,0,0,1,1,0,1,1,1,1,0
535655662,1,0,1,1,0,0,1,1,0,1,1,1,1,0
536156947,1,0,1,1,0,0,1,1,0,1,1,1,1,0
536665623,1,0,1,1,0,0,1,1,0,1,1,1,1,0
537165635,1,0,1,1,0,0,1,1,0,1,1,1,1,0
537675134,1,0,1,1,0,0,1,1,0,1,1,1,1,0
538175793,1,0,1,1,0,0,1,1,0,1,1,1,1,0
538678012,1,0,1,1,0,0,1,1,0,1,1,1,1,0
539185870,1,0,1,1,0,0,1,1,0,1,1,1,1,0
539687946,1,0,1,1,0,0,1,1,0,1,1,1,1,0
540188623,1,0,1,1,0,0,1,1,0,1,1,1,1,0
540695932,1,0,1,1,0,0,1,1,0,1,1,1,1,0
541205606,1,0,1,1,0,0,1,1,0,1,1,1,1,0
541707184,1,0,1,1,0,0,1,1,0,1,1,1,1,0
542216431,1,0,1,1,0,0,1,1,0,1,1,1,1,0
542721667,1,0,1,1,0,0,1,1,0,1,1,1,1,0
543225897,1,0,1,1,0,0,1,1,0,1,1,1,1,0
543739193,1,0,1,1,0,0,1,1,0,1,1,1,1,0
544249262,1,0,1,1,0,0,1,1,0,1,1,1,1,0
544749483,1,0,1,1,0,0,1,1,0,1,1,1,1,0
545253624,1,0,1,1,0,0,1,1,0,1,1,1,1,0
545755643,1,0,1,1,0,0,1,1,0,1,1,1,1,0
546260664,1,0,1,1,0,0,1,1,0,1,1,1,1,0
546760704,1,0,1,1,0,0,1,1,0,1,1,1,1,0
547262626,1,0,1,1,0,0,1,1,0,1,1,1,1,0
547769714,1,0,1,1,0,0,1,1,0,1,1,1,1,0
548270624,1,0,1,1,0,0,1,1,0,1,1,1,1,0
548779625,1,0,1,1,0,0,1,1,0,1,1,1,1,0
549279668,1,0,1,1,0,0,1,1,0,1,1,1,1,0
549788674,1,0,1,1,0,0,1,1,0,1,1,1,1,0
549877953,1,0,1,0,1,0,1,1,0,1,1,1,1,0
550387014,1,0,1,0,1,0,1,1,0,1,1,1,1,0
550889622,1,0,1,0,1,0,1,1,0,1,1,1,1,0
551398667,1,0,1,0,1,0,1,1,0,1,1,1,1,0
551908670,1,0,1,0,1,0,1,1,0,1,1,1,1,0
552409662,1,0,1,0,1,0,1,1,0,1,1,1,1,0
552919625,1,0,1,0,1,0,1,1,0,1,1,1,1,0
553427798,1,0,1,0,1,0,1,1,0,1,1,1,1,0
553937968,1,0,1,0,1,0,1,1,0,1,1,1,1,0
554448161,1,0,1,0,1,0,1,1,0,1,1,1,1,0
554955775,1,0,1,0,1,0,1,1,0,1,1,1,1,0
555462709,1,0,1,0,1,0,1,1,0,1,1,1,1,0
555883903,0,0,1,0,1,0,1,1,0,1,1,1,1,0
556390626,0,0,1,0,1,0,1,1,0,1,1,1,1,0
