timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
523748152,523747351,2162698,2162698,-0.00018653729,-0.00067074824,0.00023359204,-0.0014525012,0.0022927013,-0.031626992,4506,4506,0,2
524248596,524247911,2162698,2162698,-0.00084788655,-3.5081652e-07,0.00045395835,-0.0014121401,0.015437151,0.008968988,4509,4509,0,2
524744655,524743963,2162698,2162698,0.00025060837,-0.0002406179,-0.00039313058,-0.0007101838,-0.015553659,-0.04628247,4509,4509,0,2
525245205,525244525,2162698,2162698,0.0037322848,-0.0010299289,0.00042405093,0.003626911,-0.017305704,-0.05016486,4510,4510,0,2
525745778,525745098,2162698,2162698,0.0034815846,0.000996451,-0.0006915073,-0.0050657885,-0.0071125906,-0.05158398,4522,4522,0,2
526246360,526245646,2162698,2162698,-0.0037453384,-0.002097355,0.00020733163,0.009982169,0.0028440328,-0.010043621,4509,4509,0,2
526746886,526746207,2162698,2162698,0.001868225,0.00019381955,0.00027130864,0.005550474,-0.009289771,-0.064700164,4509,4509,0,2
527247456,527246767,2162698,2162698,0.0020524669,0.00086160435,-0.0003690405,-0.010843326,0.008785422,-0.054988753,4509,4509,0,2
527743506,527742818,2162698,2162698,0.0005286451,-0.0010952292,0.00052884844,0.004214602,0.012784672,-0.022593627,4510,4510,0,2
528244070,528243388,2162698,2162698,0.0007844618,0.00074406556,0.0002939524,0.002811666,0.0064613265,-0.03348402,4520,4520,0,2
528744714,528743946,2162698,2162698,-0.0021516944,-0.003225942,0.0004836066,0.005488548,-0.0017284845,-0.026757726,4517,4517,0,2
529245179,529244498,2162698,2162698,0.0046910504,0.0028635843,9.092243e-05,-0.000883384,0.01113601,-0.07720612,4510,4510,0,2
529745739,529745057,2162698,2162698,0.0026395891,0.0013928291,-0.00017257052,-0.005475387,0.0050754678,-0.0883249,4503,4503,0,2
530246303,530245616,2162698,2162698,-0.00036815848,0.00029107078,-0.00026199137,-0.0055895057,-0.0035256613,-0.075823046,4510,4510,0,2
530746957,530746175,2162698,2162698,-0.00044523328,-0.0006174579,0.00020474177,-0.0012288326,0.0007552048,-0.04154178,4509,4509,0,2
531247424,531246735,2162698,2162698,-0.00025888957,-0.0022508102,0.0001523951,0.00066400605,-0.0050367606,-0.0564758,4510,4510,0,2
531743470,531742785,2162698,2162698,0.0010697986,0.00024758413,0.00026309764,0.00036587426,0.0017172293,-0.026361058,4510,4510,0,2
