timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
523135654,inf,0,1,1,1,0,0,1,0,0,1
524136505,inf,0,1,1,1,0,0,1,0,0,1
524966169,inf,0,1,0,0,0,0,1,0,0,1
524975257,inf,0,0,0,0,0,0,1,0,0,1
525976512,inf,0,0,0,0,0,0,1,0,0,1
526977594,inf,0,0,0,0,0,0,1,0,0,1
527297841,inf,0,0,0,0,1,0,1,0,0,1
528309121,inf,0,0,0,0,1,0,1,0,0,1
529318296,inf,0,0,0,0,1,0,0,1,0,1
530296777,inf,0,0,0,0,0,0,0,1,0,1
531298031,inf,0,0,0,0,0,0,0,1,0,1
532309056,inf,0,0,0,0,0,0,0,0,0,1
533318104,inf,0,0,0,0,0,0,0,0,0,1
534328524,inf,0,0,0,0,0,0,0,0,0,1
535333686,inf,0,0,0,0,0,0,0,0,0,1
536335464,inf,0,0,0,0,0,0,0,0,0,1
537336361,inf,0,0,0,0,0,0,0,0,0,1
538337136,inf,0,0,0,0,0,0,0,0,0,1
539347755,inf,0,0,0,0,0,0,0,0,0,1
540348632,inf,0,0,0,0,0,0,0,0,0,1
541354426,inf,0,0,0,0,0,0,0,0,0,1
542358041,inf,0,0,0,0,0,0,0,0,1,1
543359226,inf,0,0,0,0,0,0,0,0,1,1
544369196,inf,0,0,0,0,0,0,0,0,1,1
545370415,inf,0,0,0,0,0,0,0,0,1,1
546380403,inf,0,0,0,0,0,0,0,0,0,1
547387629,inf,0,0,0,0,0,0,0,0,0,1
548397937,inf,0,0,0,0,0,0,0,0,0,1
549408366,inf,0,0,0,0,0,0,0,0,0,1
550413543,inf,0,0,0,0,0,0,0,1,0,1
550558250,inf,0,0,0,0,1,1,0,1,0,1
551568248,inf,0,0,0,0,1,1,0,1,0,1
552578244,inf,0,0,0,0,1,1,1,0,0,1
553074188,inf,0,1,0,0,1,1,1,0,0,1
553534131,inf,0,1,1,0,1,1,1,0,0,1
553877287,inf,0,1,1,1,1,1,1,0,0,1
554878281,inf,0,1,1,1,1,1,1,0,0,1
555888913,inf,0,1,1,1,1,1,1,0,0,1
